Show_id,Title,Director,Cast,Country,Date_added,Release_year,Rating,Duration,Listed_in,Description,Type,Tyoe
70101696,Defiance,Edward Zwick,"Daniel Craig, Liev Schreiber, Jamie Bell, Alexa Davalos, Allan Corduner, Mark Feuerstein, Tomas Arana, Jodhi May, Kate Fahy, Iddo Goldberg, George Mackay, Iben Hjejle, Martin Hancock, Jacek Koman, Ravil Isyanov",United States,2019-11-27,2008,R,137 min,"Action & Adventure, Dramas","In This Action-Packed Drama Based On An Extraordinary True Story, Four Brothers Protect More Than 1,000 Jewish Refugees During World War Ii.",Movie,Movie
81194544,Evvarikee Cheppoddu,Basava Shankar Eeday,"Rakesh Varre, Gargeyi, Vamsi Raj Nekkanti, D P Ghani, K Prasanna",India,2019-11-27,2019,Tv-14,134 min,"Comedies, International Movies, Romantic Movies","When Caste Differences Throw A Wrench Into Their Otherwise Blossoming Relationship, A Couple Must Somehow Convince The Girl’S Father To Let Them Marry.",Movie,Movie
81177504,The Body Remembers When The World Broke Open,"Elle-Máijá Tailfeathers, Kathleen Hepburn","Violet Nelson, Elle-Máijá Tailfeathers, Charlie Hannah, Barbara Eve Harris, Sonny Surowiec, Jay Cardinal Villeneuve, Tony Massil, Aidan Dee, James Angus Cowan, Anthony Bolognese","Canada, Norway",2019-11-27,2019,Tv-Ma,106 min,"Dramas, Independent Movies","After A Traumatic Event, Two Indigenous Women In Vancouver Are Brought Together And Form A Deep Bond Despite Leading Different Lives.",Movie,Movie
80175798,The Irishman,Martin Scorsese,"Robert De Niro, Al Pacino, Joe Pesci, Harvey Keitel, Ray Romano, Bobby Cannavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Kathrine Narducci, Welker White, Jesse Plemons, Jack Huston, Domenick Lombardozzi, Louis Cancelmi, Paul Herman, Gary Basaraba, Marin Ireland, Sebastian Maniscalco, Steven Van Zandt",United States,2019-11-27,2019,R,209 min,Dramas,Hit Man Frank Sheeran Looks Back At The Secrets He Kept As A Loyal Member Of The Bufalino Crime Family In This Acclaimed Film From Martin Scorsese.,Movie,Movie
81062293,Mike Birbiglia: The New One,Seth Barrish,Mike Birbiglia,United States,2019-11-26,2019,Tv-Ma,86 min,Stand-Up Comedy,Comedian Mike Birbiglia Hits Broadway With A Hilarious Yet Profound One-Man Show That Recounts His Emotional And Physical Journey To Parenthood.,Movie,Movie
80235524,Super Monsters Save Christmas,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Ian James Corlett, Britt Mckillip, Kathleen Barr, Gigi Saul Guerrero, Brian Drummond",United States,2019-11-26,2019,Tv-Y,24 min,Children & Family Movies,"It'S Christmas Eve In Pitchfork Pines, And The Super Monsters Are Joining Forces To Deck The Halls, Find Santa'S Missing Reindeer And Save The Holiday!",Movie,Movie
81215481,Pranaam,Sanjiv Jaiswal,"Rajeev Khandelwal, Samiksha Singh, S.M. Zaheer, Vikram Gokhale, Meenakshi Sethi, Atul Kulkarni, Abhimanyu Singh, Aniruddha Dave",India,2019-11-25,2019,Tv-Ma,117 min,"Action & Adventure, Dramas, International Movies","Aspiring To Fulfill His Father’S Dream And Become A Civil Services Officer, A Young Man Loses His Way Upon Becoming Entangled With A Criminal Lynchpin.",Movie,Movie
81218079,Awake,"Aleksandr Chernyaev, Fedor Lyass","Jonathan Rhys Meyers, Francesca Eastwood, Malik Yoba, William Forsythe, James Austin Kerr, Jeremy Parr",United States,2019-11-24,2019,Tv-Ma,92 min,Thrillers,"After An Accident Leaves Him With No Recollection Of Who He Is, A Man Becomes A Prime Suspect In The Search For A Serial Killer Targeting Young Women.",Movie,Movie
60028294,Popeye,Robert Altman,"Robin Williams, Shelley Duvall, Ray Walston, Paul Dooley, Paul L. Smith, Richard Libertini, Donald Moffat, Macintyre Dixon, Roberta Maxwell, Donovan Scott",United States,2019-11-24,1980,Pg,114 min,"Action & Adventure, Children & Family Movies, Comedies","During A Storm That Wrecks His Ship, Super-Strong Sailor Popeye Washes Ashore And Winds Up Rooming At The Oyl Household, Where He Meets Olive.",Movie,Movie
80125671,Shot Caller,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell, Jon Bernthal, Emory Cohen, Jeffrey Donovan, Evan Jones, Benjamin Bratt, Holt Mccallany",United States,2019-11-24,2017,R,121 min,"Dramas, Thrillers","Trying To Go Straight, A Once-Successful Businessman Fresh Out Of Prison Is Forced To Orchestrate A Brazen Crime Or Risk His Family.",Movie,Movie
60020948,Charlotte'S Web,"Charles A. Nichols, Iwao Takamoto","Debbie Reynolds, Charles Nelson Reilly, Paul Lynde, Henry Gibson, Rex Allen, Danny Bonaduce, Pamelyn Ferdin, Don Messick, Agnes Moorehead, Martha Scott, John Stephenson, Herb Vigran, Dave Madden",United States,2019-11-23,1973,G,94 min,"Children & Family Movies, Classic Movies","Follow The Adventures Of Wilbur The Pig, Templeton The Rat And Charlotte The Spider In This Animated Musical Version Of E.B. White'S Timeless Story.",Movie,Movie
70235384,End Of Watch,David Ayer,"Jake Gyllenhaal, Michael Peña, Natalie Martinez, Anna Kendrick, David Harbour, Frank Grillo, America Ferrera, Cle Sloan, Jaime Fitzsimons, Cody Horn, Shondrella Avery, America Ferrara",United States,2019-11-23,2012,R,109 min,Action & Adventure,"Officers Taylor And Zavala Patrol The Streets Of South Central Los Angeles, An Area Of The City Ruled By Gangs And Riddled With Drug Violence.",Movie,Movie
569355,Hamburger Hill,John Irvin,"Anthony Barille, Michael Boatman, Don Cheadle, Michael Dolan, Don James, Dylan Mcdermott, Michael A. Nickles, Harry O'Reilly, Daniel O'Shea, Tim Quill, Tommy Swerdlow, Courtney B. Vance, Steven Weber, Tegan West",United States,2019-11-23,1987,R,110 min,"Action & Adventure, Dramas",The Vietnam War'S Horrors Come Brutally To Life Through The Eyes Of American Soldiers Trying To Take A Heavily Fortified Hill Under Vietcong Control.,Movie,Movie
60022645,The Time Machine,Simon Wells,"Guy Pearce, Samantha Mumba, Jeremy Irons, Mark Addy, Sienna Guillory, Phyllida Law, Alan Young, Omero Mumba, Yancey Arias, Orlando Jones","United States, United Arab Emirates",2019-11-23,2002,Pg-13,96 min,"Action & Adventure, Sci-Fi & Fantasy","Based On The H.G. Wells Classic, This Adventure Follows A Scientist And Inventor Who'S Determined To Prove To Doubters That Time Travel Is Possible.",Movie,Movie
80198859,Brother,Julien Abraham,"Mhd, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019-11-22,2019,Tv-Ma,97 min,"Dramas, Independent Movies, International Movies","Thrust From A Violent Home Into A Brutal Custody Center, A Teenager Learns To Navigate A Tough New Reality And Forge Unlikely Alliances To Survive.",Movie,Movie
80159876,Girls Und Panzer Der Film,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami, Yuka Iguchi, Misato Fukuen, Mikako Takahashi, Kana Ueda, Mika Kikuchi, Maya Yoshioka",Japan,2019-11-22,2015,Tv-14,121 min,"Action & Adventure, Anime Features, International Movies",The Girls Of Ōarai High Must Face Off Against A Formidable University Team In A Fierce Tank Battle To Once Again Avoid Closure Of Their School.,Movie,Movie
81218074,Shelby American,"Nate Adams, Adam Carolla",Carroll Shelby,United States,2019-11-22,2019,Tv-14,119 min,"Documentaries, Sports Movies","Featuring Interviews And Vintage Footage, This Documentary Traces American Icon Carroll Shelby'S Life Of Reinvention From Farmer To Racer To Entrepreneur.",Movie,Movie
60023606,K-19: The Widowmaker,Kathryn Bigelow,"Harrison Ford, Liam Neeson, Peter Sarsgaard, Sam Spruell, Joss Ackland, Peter Stebbings, Christian Camargo, Sam Redford, John Shrapnel, Donald Sumpter","United Kingdom, Germany, Canada, United States",2019-11-21,2002,Pg-13,138 min,"Action & Adventure, Dramas","On Board Russia'S First Nuclear Ballistic Submarine, Capt. Vostrikov Must Race Against Time To Prevent A Chernobyl-Like Explosion.",Movie,Movie
81026188,The Knight Before Christmas,Monika Mitchell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui, Harry Jarvis, Mimi Gianopulos, Ella Kenion, Jean-Michel Le Gal, Arnold Pinnock",United States,2019-11-21,2019,Tv-14,93 min,"Children & Family Movies, Comedies, Romantic Movies","Medieval Magic Sends A 14Th-Century Knight To Modern-Day Ohio, Where He Falls For A High School Science Teacher Who'S Disillusioned By Love.",Movie,Movie
70267398,Adore,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France",2019-11-20,2013,R,111 min,"Dramas, Independent Movies, International Movies","When Lifelong Friends Roz And Lil Fall In Love With Each Other'S Teenage Sons, They Must Carry Out Their Affairs In Relative Secrecy.",Movie,Movie
80108983,Be Somebody,Joshua Caldwell,"Matthew Espinosa, Sarah Jeffery, Allison Paige, Tava Smiley, Caitlin Keats, Lamonica Garrett, Mahaley Patel, Mason Mcculley, Liana Ramirez",United States,2019-11-20,2016,Pg,88 min,"Comedies, Dramas, Romantic Movies","To Escape The Stress Of Fame, Teen Pop Star Jordan Goes Incognito In A Small Town, Where He Forms A Special Bond With High School Art Student Emily.",Movie,Movie
292118,Beavis And Butt-Head Do America,Mike Judge,"Mike Judge, Bruce Willis, Demi Moore, Cloris Leachman, Robert Stack, Jacqueline Barba, Pamela Blair, Eric Bogosian, Kristofor Brown, Tony Darling, David Letterman",United States,2019-11-20,1996,Pg-13,81 min,"Comedies, Cult Movies","After Realizing That Their Boob Tube Is Gone, Beavis And Butt-Head Set Off On An Expedition That Takes Them From Las Vegas To The Nation'S Capital.",Movie,Movie
70003046,Bebe'S Kids,Bruce W. Smith,"Faizon Love, Vanessa Bell Calloway, Wayne Collins, Jonell Green, Marques Houston, Tone-Loc, Myra J., Nell Carter",United States,2019-11-20,1992,Pg-13,73 min,Comedies,"When Ladies' Man Robin Meets Jamika, He Falls Head Over Heels, But She Greets Him With Four Surprises: Her Son And Her Girlfriend Bebe'S Three Kids.",Movie,Movie
80221584,"Bikram: Yogi, Guru, Predator",Eva Orner,Bikram Choudhury,United States,2019-11-20,2019,Tv-Ma,86 min,Documentaries,This Documentary Charts The Rise And Fall Of Hot Yoga Founder Bikram Choudhury As His Global Empire Is Born And Disturbing Revelations Come To Light.,Movie,Movie
70053833,Black Snake Moan,Craig Brewer,"Samuel L. Jackson, Christina Ricci, Justin Timberlake, S. Epatha Merkerson, John Cothran, David Banner, Michael Raymond-James, Adriane Lenox, Kim Richards, Neimus K. Williams",United States,2019-11-20,2007,R,116 min,"Dramas, Independent Movies","Lazarus Finds Rae Beaten And Near Death, And Acts As A Father Figure To Help Redeem Her. But Before Saving Anyone, Lazarus Must Face His Own Demons.",Movie,Movie
70122722,Carriers,"Àlex Pastor, David Pastor","Lou Taylor Pucci, Chris Pine, Piper Perabo, Emily Vancamp, Christopher Meloni, Kiernan Shipka, Ron Mcclary, Mark Moses",United States,2019-11-20,2009,Pg-13,85 min,"Horror Movies, Sci-Fi & Fantasy, Thrillers","As A Lethal Virus Spreads Globally, Four Friends Seek A Reputed Plague-Free Haven. But While Avoiding The Infected, The Travelers Turn On One Another.",Movie,Movie
81217738,Dorasaani,Kvr Mahendra,"Anand Deverakonda, Shivatmika Rajasekhar, Kannada Kishore",India,2019-11-20,2019,Tv-14,134 min,"Dramas, International Movies, Romantic Movies",A Village Landlord'S Daughter And An Educated Commoner Must Decide If Their Budding Forbidden Love Is Worth Resisting A Repressive Social Hierarchy.,Movie,Movie
80081990,Dream/Killer,Andrew Jenks,"Bill Ferguson, Ryan Ferguson",United States,2019-11-20,2015,Tv-Ma,109 min,Documentaries,This Riveting Crime Doc Follows Bill As He Confronts America'S Broken Judicial System After His Son Is Falsely Sentenced To 40 Years In Prison.,Movie,Movie
60004471,Evolution,Ivan Reitman,"David Duchovny, Julianne Moore, Orlando Jones, Seann William Scott, Ted Levine, Ethan Suplee, Michael Bower, Pat Kilbane, Ty Burrell, Dan Aykroyd",United States,2019-11-20,2001,Pg-13,102 min,"Comedies, Sci-Fi & Fantasy","After Two Community College Geology Professors Discover Microscopic Alien Life-Forms On A Meteorite, The Military And Government Become Involved.",Movie,Movie
60022413,Eye For An Eye,John Schlesinger,"Sally Field, Kiefer Sutherland, Ed Harris, Beverly D'Angelo, Charlayne Woodard, Joe Mantegna, Olivia Burnette, Alexandra Kyle, Keith David, Philip Baker Hall",United States,2019-11-20,1996,R,101 min,"Dramas, Thrillers",Grieving Mother Karen Mccann Takes Justice Into Her Own Hands When The Man Who Raped And Murdered Her Daughter Is Freed On A Technicality.,Movie,Movie
70058022,Hot Rod,Akiva Schaffer,"Andy Samberg, Jorma Taccone, Bill Hader, Danny Mcbride, Isla Fisher, Sissy Spacek, Ian Mcshane, Will Arnett, Chris Parnell, Chester Tam",United States,2019-11-20,2007,Pg-13,88 min,"Comedies, Sports Movies",Andy Samberg Stars In This Comedy As An Accident-Prone Daredevil Who'S Determined To Jump 15 Buses On His Moped And Impress His Abusive Stepfather.,Movie,Movie
60022502,It Takes Two,Andy Tennant,"Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen, Philip Bosco, Jane Sibbett",United States,2019-11-20,1995,Pg,101 min,"Children & Family Movies, Comedies","The Olsen Twins Put A Cute New Spin On Mark Twain'S Classic Tale ""The Prince And The Pauper,"" Playing Identical 9-Year-Olds From Very Different Backgrounds: Orphaned Amanda And Wealthy Alyssa.",Movie,Movie
80244683,"Lorena, Light-Footed Woman",Juan Carlos Rulfo,Lorena Ramírez,Mexico,2019-11-20,2019,Tv-G,28 min,"Documentaries, International Movies, Sports Movies",Lorena Ramírez Of Mexico'S Rarámuri Community Lives A Pastoral Life – Except When She Straps On Her Sandals To Compete As An Ultramarathon Runner.,Movie,Movie
80028357,"Love, Rosie",Christian Ditter,"Lily Collins, Sam Claflin, Christian Cooke, Jamie Beamish, Suki Waterhouse, Tamsin Egerton, Jaime Winstone, Lorcan Cranitch","Germany, United Kingdom",2019-11-20,2014,R,103 min,"Comedies, International Movies, Romantic Movies","Over The Years, As They Come And Go In Each Other'S Life, Childhood Pals Rosie And Alex Struggle To Resolve The Lasting, Intimate Bond Between Them.",Movie,Movie
81217739,Mallesham,Raj R,"Jhansi, Priyadarshi Pullikonda, Ananya Nagalla",India,2019-11-20,2019,Tv-Pg,131 min,"Dramas, Independent Movies, International Movies","A Self-Trained Engineer Risks Debt, Love And Reputation In His Quest To Improve The Grueling Work Conditions Of His Mother And Her Weaving Community.",Movie,Movie
60031884,Once Upon A Time In The West,Sergio Leone,"Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards, Gabriele Ferzetti, Paolo Stoppa, Woody Strode, Jack Elam, Keenan Wynn, Frank Wolff, Lionel Stander","Italy, United States",2019-11-20,1968,Pg-13,166 min,"Action & Adventure, Classic Movies, International Movies","In This Epic Spaghetti Western, A Flinty Gunslinger Is Hired By A Railroad Tycoon To Kill Anyone Standing In The Way Of His Trans-American Iron Horse.",Movie,Movie
70117289,She'S Out Of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrence, Krysten Ritter, Geoff Stults, Lindsay Sloane, Andrew Daly, Jasika Nicole, Kyle Bornheimer",United States,2019-11-20,2010,R,105 min,"Comedies, Romantic Movies","When Average-Guy Kirk Starts Dating Drop-Dead-Gorgeous Molly, His Friends Don'T See It Lasting, So Kirk Does Everything He Can To Avoid Losing Molly.",Movie,Movie
28631236,Superstar,Bruce Mcculloch,"Molly Shannon, Will Ferrell, Elaine Hendrix, Harland Williams, Mark Mckinney, Glynis Johns, Jason Blicker, Gerry Bamman, Emmy Laybourne, Jennifer Irwin, Tom Green",United States,2019-11-20,1999,Pg-13,82 min,Comedies,A Socially Awkward Catholic Schoolgirl Vows To Win A Dreamy Classmate’S Affections By Taking First Prize At An Upcoming Talent Show.,Movie,Movie
70121502,The Adventures Of Tintin,Steven Spielberg,"Jamie Bell, Andy Serkis, Daniel Craig, Nick Frost, Simon Pegg, Daniel Mays, Gad Elmaleh, Toby Jones, Joe Starr","United States, New Zealand, United Kingdom",2019-11-20,2011,Pg,107 min,Children & Family Movies,"This 3-D Motion Capture Adapts Georges Remi'S Classic Comic Strip About The Adventures Of Fearless Young Journalist Tintin And His Trusty Dog, Snowy.",Movie,Movie
70215455,The Devil Inside,William Brent Bell,"Fernanda Andrade, Simon Quarterman, Evan Helmuth, Ionut Grama, Suzan Crowley, Bonnie Morgan, Brian Johnson",United States,2019-11-20,2012,R,84 min,"Horror Movies, Thrillers","At Once Spooky And Grisly, This Thriller Follows A Woman'S Quest To Find The Truth Behind Claims Her Mother Killed Three People During An Exorcism.",Movie,Movie
506464,The First Wives Club,Hugh Wilson,"Bette Midler, Goldie Hawn, Diane Keaton, Maggie Smith, Dan Hedaya, Sarah Jessica Parker, Stockard Channing, Victor Garber, Stephen Collins, Marcia Gay Harden, Jennie Dundas, Elizabeth Berkley, Eileen Heckart, Bronson Pinchot, Rob Reiner",United States,2019-11-20,1996,Pg,103 min,Comedies,"Following A Friend'S Suicide After Her Husband Dumps Her For A Younger Model, Three Women Plot Payback Against Their Two-Timing Exes.",Movie,Movie
60003508,The Gift,Sam Raimi,"Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley",United States,2019-11-20,2000,R,112 min,"Dramas, Thrillers","When The Authorities Find A Drowned Woman'S Body, A Small-Town Psychic Starts Having Visions Of Who Committed The Murder.",Movie,Movie
70105132,"The Goods: Live Hard, Sell Hard",Neal Brennan,"Jeremy Piven, Ving Rhames, James Brolin, David Koechner, Kathryn Hahn, Ed Helms, Jordana Spiro, Tony Hale, Ken Jeong, Rob Riggle, Kristen Schaal, Alan Thicke, Jonathan Sadowski, Joey Kern, Craig Robinson",United States,2019-11-20,2009,R,89 min,Comedies,"Hired To Rescue A Flagging Car Dealership During A Major Sale, A Fast-Talking Closer Spends His Days On The Lot And His Nights At Local Strip Clubs.",Movie,Movie
60004083,The Longest Yard,Robert Aldrich,"Burt Reynolds, Eddie Albert, Ed Lauter, James Hampton, Charles Tyner, Bernadette Peters, Richard Kiel, Joe Dorsey, Joe Jackson, Harry Caesar, John Steadman, Jim Nicholson, Tony Cacciotti",United States,2019-11-20,1974,R,121 min,"Classic Movies, Comedies, Sports Movies",Washed-Up Professional Quarterback Paul Crewe Is Sent To Jail And Forced To Put Together An Inmate Gridiron Team To Take On A Group Of Prison Guards.,Movie,Movie
70087538,The Love Guru,Marco Schnabel,"Mike Myers, Jessica Alba, Justin Timberlake, Ben Kingsley, Romany Malco, Meagan Good, Verne Troyer, Omid Djalili, Telma Hopkins","United Kingdom, Germany, United States",2019-11-20,2008,Pg-13,87 min,"Comedies, Sports Movies","Raised On An Ashram In India, A Self-Styled Love Guru Returns To His Native America To Settle A Romantic Rivalry Between Two Pro Hockey Players.",Movie,Movie
1181661,The Rainmaker,Francis Ford Coppola,"Matt Damon, Danny Devito, Claire Danes, Jon Voight, Mary Kay Place, Dean Stockwell, Teresa Wright, Virginia Madsen, Mickey Rourke, Andrew Shue","United States, Germany",2019-11-20,1997,Pg-13,136 min,"Dramas, Thrillers",A Young Attorney And A Scrappy Paralegal Work To Help The Parents Of A Terminally Ill Boy In Their Suit Against An Insurance Company.,Movie,Movie
60011552,What'S Eating Gilbert Grape,Lasse Hallström,"Johnny Depp, Leonardo Dicaprio, Juliette Lewis, Mary Steenburgen, Darlene Cates, Laura Harrington, Mary Kate Schellhardt, Kevin Tighe, John C. Reilly, Crispin Glover",United States,2019-11-20,1993,Pg-13,118 min,"Classic Movies, Dramas, Independent Movies","In A Backwater Iowa Town, Young Gilbert Is Torn Between Taking Care Of His Troubled Family And A Girl Who Shows Him New Possibilities For His Life.",Movie,Movie
70044693,World Trade Center,Oliver Stone,"Nicolas Cage, Michael Peña, Maggie Gyllenhaal, Maria Bello, Stephen Dorff, Jay Hernandez, Michael Shannon, Frank Whaley, Jon Bernthal, Morgan Flynn, Nick Damici, Viola Davis, William Mapother",United States,2019-11-20,2006,Pg-13,129 min,"Action & Adventure, Dramas","Working Under Treacherous Conditions, An Army Of Dedicated Rescuers Struggles To Find Anyone Who Survived The World Trade Center'S Tragic Collapse.",Movie,Movie
70173046,Young Adult,Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin",United States,2019-11-20,2011,R,94 min,"Comedies, Dramas, Independent Movies","When A Divorced Writer Gets A Letter From An Old Boyfriend Announcing His Wife'S Had A Baby, She Returns To Her Hometown To Reconnect With Her Ex.",Movie,Movie
70039187,"Yours, Mine And Ours",Raja Gosnell,"Dennis Quaid, Rene Russo, Sean Faris, Katija Pevec, Dean Collins, Tyler Patrick Jones, Haley Ramm, Brecken Palmer, Bridger Palmer, Ty Panitz",United States,2019-11-20,2005,Pg,88 min,"Children & Family Movies, Comedies","When A Father Of Eight And A Mother Of 10 Prepare To Wed, The Couple'S Children Attempt To Sabotage The Union In This Remake Of A 1968 Comedy.",Movie,Movie
70044686,Zodiac,David Fincher,"Mark Ruffalo, Jake Gyllenhaal, Robert Downey Jr., Anthony Edwards, Brian Cox, Elias Koteas, Donal Logue, John Carroll Lynch, Dermot Mulroney, Chloë Sevigny",United States,2019-11-20,2007,R,158 min,"Cult Movies, Dramas, Thrillers","A Political Cartoonist, A Crime Reporter And A Pair Of Cops Investigate San Francisco'S Infamous Zodiac Killer In This Thriller Based On A True Story.",Movie,Movie
81073633,Iliza Shlesinger: Unveiled,Steve Paley,Iliza Shlesinger,United States,2019-11-19,2019,Tv-Ma,78 min,Stand-Up Comedy,"Here Comes The Bride, And She'S Got Plenty To Say. Newlywed Iliza Shlesinger Dissects Wedding Traditions As She Mines Her Nuptials For Laughs.",Movie,Movie
70189289,Drive,Nicolas Winding Refn,"Ryan Gosling, Carey Mulligan, Bryan Cranston, Christina Hendricks, Ron Perlman, Oscar Isaac, Albert Brooks, Kaden Leos, Jeff Wolfe, James Biberi",United States,2019-11-16,2011,R,100 min,"Action & Adventure, Dramas, Independent Movies",A Hollywood Stuntman And Getaway Driver Is Lured From His Isolated Life By A Lovely Neighbor – Until Her Violent Husband Is Released From Prison.,Movie,Movie
80013267,Jeff Dunham: All Over The Map,Robb Dipple,Jeff Dunham,United States,2019-11-16,2014,Tv-14,84 min,Stand-Up Comedy,"America'S Most Beloved Ventriloquist Hits The Road, Bringing Along All Of His Most Popular Pals, Including Achmed, Peanut And Walter.",Movie,Movie
80046819,Suffragette,Sarah Gavron,"Carey Mulligan, Helena Bonham Carter, Brendan Gleeson, Anne-Marie Duff, Ben Whishaw, Romola Garai, Meryl Streep, Finbar Lynch, Natalie Press, Samuel West, Geoff Bell, Amanda Lawrence, Shelley Longworth","United Kingdom, France",2019-11-16,2015,Pg-13,107 min,"Dramas, International Movies","At The Beginning Of The 20Th Century, Circumstances Drive A Young, Idealistic Suffragette To Find Radical Approaches To Fighting Male Oppression.",Movie,Movie
